C1	25.02	44.81	180.00	3.3nF	C0805K
C2	18.36	20.02	180.00	1nF	C0805K
C3	35.64	8.18	0.00	1nF	C0805K
R1	18.92	39.98	0.00		R0805
R2	18.92	44.81	180.00		R0805
R3	31.50	21.06	0.00	0.2	R2512
R4	30.73	42.52	90.00	0.2	R2512
R5	36.07	39.73	180.00	100	R0805
R6	12.83	39.98	180.00	10k	R0805
R7	25.02	40.11	0.00	22k	R0805
